nom_enseigne,longitude,latitude,territoryLabel
CARREFOUR DRIVE,2.1087422,49.4118563,NORD
CARREFOUR DRIVE,5.29679,45.58285,SUD
CARREFOUR DRIVE,4.847374,46.79801,EST
CARREFOUR DRIVE,5.76605,45.20251,SUD
CARREFOUR DRIVE,6.690366,46.188853,SUD
CARREFOUR DRIVE,2.32814,48.786238,ILE-DE-FRANCE
CARREFOUR DRIVE,7.2563,43.72281,SUD
CARREFOUR DRIVE,-0.4538176,49.3218222,NORD
CARREFOUR DRIVE,5.23911,45.72268,SUD
CARREFOUR DRIVE,6.560153,43.257373,SUD
CARREFOUR DRIVE,4.9993539,43.5767302,SUD
CARREFOUR DRIVE,3.36515,49.398881,NORD
CARREFOUR DRIVE,0.498746,49.354348,NORD
CARREFOUR DRIVE,1.070027,43.602382,SUD
CARREFOUR DRIVE,2.3135774,50.0043023,NORD
CARREFOUR DRIVE,2.1828032,43.9314044,SUD
CARREFOUR DRIVE,-2.0736233,48.4484102,OUEST
CARREFOUR DRIVE,2.8835816,48.935995,ILE-DE-FRANCE
CARREFOUR DRIVE,7.248601,43.711422,SUD
CARREFOUR DRIVE,1.15184,49.40548,NORD
CARREFOUR DRIVE,3.095092,50.629756,NORD
CARREFOUR DRIVE,4.01267,49.24832,EST
CARREFOUR DRIVE,1.035721,49.303067,NORD
CARREFOUR DRIVE,2.9420842,50.5272778,NORD
CARREFOUR DRIVE,2.696177,48.483781,ILE-DE-FRANCE
CARREFOUR DRIVE,4.825235,45.687615,SUD
CARREFOUR DRIVE,-2.9586858,47.668617,OUEST
CARREFOUR DRIVE,4.006599,50.260127,NORD
CARREFOUR DRIVE,1.4381444,44.4211468,SUD
CARREFOUR DRIVE,1.8623436,48.9655966,ILE-DE-FRANCE
CARREFOUR DRIVE,4.361627,48.956655,EST
CARREFOUR DRIVE,4.1985387,44.2506888,SUD
CARREFOUR DRIVE,6.99426,43.580492,SUD
CARREFOUR DRIVE,2.9095564,50.3927589,NORD
CARREFOUR DRIVE,0.376052,49.644683,NORD
CARREFOUR DRIVE,1.3177763,43.5754069,SUD
CARREFOUR DRIVE,2.6758863,48.2691988,ILE-DE-FRANCE
CARREFOUR DRIVE,4.7021836,45.2604956,SUD
CARREFOUR DRIVE,3.3003363,49.3798073,NORD
CARREFOUR DRIVE,-0.425516,44.91668,SUD
CARREFOUR DRIVE,2.881363,49.226752,NORD
CARREFOUR DRIVE,-1.2475007,49.0901564,NORD
CARREFOUR DRIVE,2.75641,43.194665,SUD
CARREFOUR DRIVE,3.6078079,43.4297596,SUD
