Rang,Departement,Commune,Score,Habitants,territoryLabel
154,HAUTS-DE-SEINE,RUEIL-MALMAISON,82.741031691708528,77837,ILE-DE-FRANCE
155,SEINE-MARITIME,SOTTEVILLE-LES-ROUEN,82.3852601861345,27397,NORD
156,NORD,MONS-EN-BAROEUL,82.019232729326731,20277,NORD
157,YVELINES,CHATOU,81.738531401948052,31939,ILE-DE-FRANCE
158,SEINE-ET-MARNE,MELUN,81.598907590934886,36358,ILE-DE-FRANCE
159,MEURTHE-ET-MOSELLE,SAINT-MAX,81.5928382624678,9673,EST
160,SEINE-SAINT-DENIS,NEUILLY-PLAISANCE,81.551595633626135,20841,ILE-DE-FRANCE
161,SEINE-SAINT-DENIS,LE BLANC-MESNIL,81.031841006718324,55693,ILE-DE-FRANCE
162,VAL-D'OISE,ARGENTEUIL,80.856308393186808,115683,ILE-DE-FRANCE
163,VAL-D'OISE,SAINT-GRATIEN,80.271062992152537,21318,ILE-DE-FRANCE
164,SEINE-SAINT-DENIS,NOISY-LE-GRAND,80.1697786998948,66723,ILE-DE-FRANCE
165,HERAULT,MONTPELLIER,80.085665087018313,236553,SUD
166,SEINE-SAINT-DENIS,SEVRAN,80.031982167296491,52613,ILE-DE-FRANCE
167,ESSONNE,EVRY,79.970503980457238,66594,ILE-DE-FRANCE
168,HAUTE-GARONNE,TOULOUSE,79.9651020276777,404843,SUD
169,SEINE-SAINT-DENIS,BOBIGNY,78.95834979304324,54105,ILE-DE-FRANCE
170,MORBIHAN,LORIENT,78.4565293294873,53969,OUEST
171,SAONE-ET-LOIRE,CHALON-SUR-SAONE,78.335241776849074,41891,EST
172,YVELINES,POISSY,77.0162892209958,36979,ILE-DE-FRANCE
173,VAL-D'OISE,VILLIERS-LE-BEL,76.854824220965611,30140,ILE-DE-FRANCE
174,YVELINES,TRAPPES,76.834058691209975,32515,ILE-DE-FRANCE
175,YVELINES,LE PECQ,76.780320672732543,16502,ILE-DE-FRANCE
176,PUY-DE-DOME,CLERMONT-FERRAND,76.669165248116954,122417,EST
177,ALPES-MARITIMES,CANNES,76.618592822781636,76873,SUD
178,RHONE,VILLEFRANCHE-SUR-SAONE,76.555818671210162,35930,EST
179,HAUTE-SAVOIE,AMBILLY,76.553353681666039,5403,EST
180,SEINE-ET-MARNE,TORCY,76.526586244466387,23358,ILE-DE-FRANCE
181,YVELINES,MONTIGNY-LE-BRETONNEUX,76.475128374361,33305,ILE-DE-FRANCE
182,ESSONNE,EPINAY-SOUS-SENART,76.20877038833,11982,ILE-DE-FRANCE
183,SEINE-SAINT-DENIS,AULNAY-SOUS-BOIS,75.867844459203667,84303,ILE-DE-FRANCE
184,ESSONNE,CHILLY-MAZARIN,75.518831821874087,20196,ILE-DE-FRANCE
185,LOIRET,ORLEANS,75.373776566753818,107619,OUEST
186,GIRONDE,LE BOUSCAT,75.244574385919591,23886,OUEST
187,ESSONNE,VIRY-CHATILLON,75.0907995128495,31312,ILE-DE-FRANCE
188,GIRONDE,TALENCE,74.877802884325149,34590,OUEST
189,CALVADOS,CAEN,74.798993836066956,87095,NORD
190,SEINE-MARITIME,LE PETIT-QUEVILLY,74.500660897328345,22299,NORD
191,HAUTS-DE-SEINE,VILLE-D'AVRAY,74.408733211991716,11665,ILE-DE-FRANCE
192,VAL-D'OISE,SANNOIS,74.344451537650329,27472,ILE-DE-FRANCE
193,HAUTS-DE-SEINE,LEVALLOIS-PERRET,74.327024402796724,64492,ILE-DE-FRANCE
194,VAL-DE-MARNE,VILLENEUVE-SAINT-GEORGES,74.091545679955431,33304,ILE-DE-FRANCE
195,HAUTS-DE-SEINE,SEVRES,73.7570846655647,22730,ILE-DE-FRANCE
196,RHONE,BRON,73.734279840282682,38065,EST
197,TERRITOIRE DE BELFORT,BELFORT,73.663815442103015,41881,EST
198,ISERE,ECHIROLLES,73.387475834028109,35358,EST
199,SEINE-SAINT-DENIS,GAGNY,72.758806376046408,41278,ILE-DE-FRANCE
200,PAS-DE-CALAIS,LE PORTEL,72.713403211707089,9352,NORD
201,VAL-D'OISE,SARCELLES,72.540932139869568,62015,ILE-DE-FRANCE
202,MAINE-ET-LOIRE,ANGERS,72.2129143496761,128349,OUEST
203,OISE,CREIL,72.122096160676,32686,NORD
204,VAL-DE-MARNE,ORLY,71.974147865503141,23182,ILE-DE-FRANCE
205,ESSONNE,ARPAJON,71.9600943502229,11474,ILE-DE-FRANCE
206,ESSONNE,SAVIGNY-SUR-ORGE,71.849395599879756,37807,ILE-DE-FRANCE
207,MOSELLE,MONTIGNY-LES-METZ,71.0673907576647,21445,EST
208,RHONE,VENISSIEUX,70.994668814181665,62395,EST
209,YVELINES,ACHERES,70.96012519075,21195,ILE-DE-FRANCE
210,ALPES-MARITIMES,BEAUSOLEIL,70.8113078074645,14635,SUD
211,VAL-DE-MARNE,LIMEIL-BREVANNES,70.704010442204165,26663,ILE-DE-FRANCE
212,YVELINES,GUYANCOURT,70.7035254340197,28747,ILE-DE-FRANCE
213,SEINE-ET-MARNE,NOISIEL,70.34218974952978,15365,ILE-DE-FRANCE
214,YVELINES,MARLY-LE-ROI,69.743184193878676,17466,ILE-DE-FRANCE
215,NORD,ARMENTIERES,69.680723407746655,24404,NORD
216,VAR,TOULON,69.475715156015625,161728,SUD
217,VAL-DE-MARNE,BRY-SUR-MARNE,69.371237210566136,15818,ILE-DE-FRANCE
218,PARIS,PARIS-2E-ARRONDISSEMENT,69.050112680013058,21142,ILE-DE-FRANCE
219,SEINE-ET-MARNE,CHAMPS-SUR-MARNE,68.944655165298641,24886,ILE-DE-FRANCE
220,ESSONNE,ATHIS-MONS,68.922190152642912,34007,ILE-DE-FRANCE
221,VAL-D'OISE,EAUBONNE,68.8453829063698,24556,ILE-DE-FRANCE
222,RHONE,CALUIRE-ET-CUIRE,68.813122768655418,42275,EST
223,SEINE-SAINT-DENIS,VILLETANEUSE,68.715919844256376,13186,ILE-DE-FRANCE
224,SEINE-SAINT-DENIS,CLICHY-SOUS-BOIS,68.580451678904566,29729,ILE-DE-FRANCE
225,NORD,CROIX,68.304183517375932,21614,NORD
226,SEINE-MARITIME,LE GRAND-QUEVILLY,68.290398369661943,25193,NORD
227,AUBE,TROYES,68.1077978727134,53102,EST
228,NORD,LOOS,68.061257758040369,20564,NORD
229,ALPES-MARITIMES,NICE,67.878934168360345,359902,SUD
230,VAL-DE-MARNE,VALENTON,67.874176947796713,14485,ILE-DE-FRANCE
231,AUBE,LES NOES-PRES-TROYES,67.336657698713822,2669,EST
232,YVELINES,FONTENAY-LE-FLEURY,67.335516767956832,13547,ILE-DE-FRANCE
233,VAL-D'OISE,CERGY,66.964108804984647,61540,ILE-DE-FRANCE
234,NORD,DUNKERQUE,66.390176639943832,87012,NORD
235,VAL-DE-MARNE,ABLON-SUR-SEINE,66.371125799099445,5538,ILE-DE-FRANCE
236,SEINE-ET-MARNE,VILLEPARISIS,66.336001552011425,26954,ILE-DE-FRANCE
237,ESSONNE,CORBEIL-ESSONNES,66.222525225046937,50247,ILE-DE-FRANCE
238,VAL-DE-MARNE,LE PLESSIS-TREVISE,66.167362897881731,19212,ILE-DE-FRANCE
239,VAL-D'OISE,GONESSE,66.0683933413067,25826,ILE-DE-FRANCE
240,YVELINES,BOIS-D'ARCY,66.04214456325073,14363,ILE-DE-FRANCE
241,MOSELLE,METZ,65.783780603273215,104844,EST
242,YVELINES,SAINT-GERMAIN-EN-LAYE,65.658262268155141,42809,ILE-DE-FRANCE
243,ESSONNE,VIGNEUX-SUR-SEINE,65.648250285801822,31122,ILE-DE-FRANCE
244,YVELINES,SAINT-CYR-L'ECOLE,65.432512767229639,17884,ILE-DE-FRANCE
245,SOMME,AMIENS,65.41490757925817,116659,NORD
246,VAL-DE-MARNE,BONNEUIL-SUR-MARNE,65.1331362873187,15913,ILE-DE-FRANCE
247,ESSONNE,SAINT-MICHEL-SUR-ORGE,64.977498858536379,20623,ILE-DE-FRANCE
248,SEINE-ET-MARNE,MEAUX,64.848089621268187,53892,ILE-DE-FRANCE
249,NORD,SAINT-ANDRE-LEZ-LILLE,64.807573653817428,11800,NORD
250,NORD,LAMBERSART,64.638078718472755,27011,NORD
251,HERAULT,SETE,64.494706438110867,43467,SUD
252,ESSONNE,LONGJUMEAU,64.493376615907309,21851,ILE-DE-FRANCE
253,MEURTHE-ET-MOSELLE,JARVILLE-LA-MALGRANGE,64.39354382834415,8999,EST
254,NORD,RONCHIN,64.143999612347216,18720,NORD
255,ISERE,SAINT-MARTIN-D'HERES,64.053506544548341,31407,EST
256,VAL-D'OISE,PONTOISE,64.01756101240727,30317,ILE-DE-FRANCE
257,MEURTHE-ET-MOSELLE,LAXOU,63.761216935670568,12626,EST
258,ESSONNE,RIS-ORANGIS,63.635156883651639,29903,ILE-DE-FRANCE
259,BOUCHES-DU-RHONE,MARSEILLE-14E--ARRONDISSEMENT,63.493190640899371,57589,SUD
260,YVELINES,LES CLAYES-SOUS-BOIS,63.288706184011929,18206,ILE-DE-FRANCE
261,SARTHE,LE MANS,63.103166008874332,137259,OUEST
262,PAS-DE-CALAIS,CALAIS,62.994784887220447,70118,NORD
263,SEINE-ET-MARNE,AVON,62.37348127785453,13799,ILE-DE-FRANCE
264,ESSONNE,MORSANG-SUR-ORGE,61.845703459693958,21756,ILE-DE-FRANCE
265,GIRONDE,SAINTE-FOY-LA-GRANDE,61.786343085515639,2226,OUEST
266,PYRENEES-ATLANTIQUES,PAU,61.766560779180324,69548,OUEST
267,OISE,COMPIEGNE,61.39917122138452,37020,NORD
268,GIRONDE,CENON,61.394307322310233,23056,OUEST
269,BAS-RHIN,LINGOLSHEIM,61.248333541248762,17719,EST
270,VAL-D'OISE,SOISY-SOUS-MONTMORENCY,61.148922231513453,18472,ILE-DE-FRANCE
